Reporting starts,Reporting ends,Campaign name,Campaign delivery,Results,Result indicator,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Impressions,Reach,Ends,Attribution setting,Total messaging contacts,New messaging contacts,Purchases,Cost per purchase (USD)
2/27/2023,3/27/2026,Instagram post: Are you looking for a roomy lunch...,completed,6,actions:onsite_conversion.messaging_conversation_started_7d,0.82833333,5,Lifetime,4.97,1340,967,6/3/2025,7-day click or 1-day view,8,5,,
2/27/2023,3/27/2026,"Instagram post: $45
(Was $60) OmieBox",completed,57,actions:link_click,0.08578947,5,Lifetime,4.89,7880,7223,6/3/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram Post,completed,65,actions:link_click,0.07615385,5,Lifetime,4.95,5025,4560,6/4/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram Post,completed,1,actions:onsite_conversion.messaging_conversation_started_7d,4.95,5,Lifetime,4.95,1816,1278,6/10/2025,7-day click or 1-day view,2,1,,
2/27/2023,3/27/2026,Instagram Post,completed,73,actions:link_click,0.06780822,5,Lifetime,4.95,9212,8278,6/10/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: OmieBox BIG SALE Best deal in 8...,completed,87,actions:link_click,0.05643678,5,Lifetime,4.91,4210,3572,6/10/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Discover the genius design...,completed,68,actions:link_click,0.07338235,5,Lifetime,4.99,4991,4588,6/12/2025,7-day click or 1-day view,,2,,
2/27/2023,3/27/2026,Instagram post: Celebrating 8 years at Urth Mama...,completed,81,actions:link_click,0.0617284,5,Lifetime,5,3938,3708,6/17/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: SALE on OmieBox is still ongoing...,completed,176,actions:link_click,0.02840909,5,Lifetime,5,10265,8985,6/17/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: SALE on OmieBox is still ongoing...,inactive,199,actions:link_click,0.03673367,10,Lifetime,7.31,17680,14868,6/18/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,"Instagram post: ‎استخدمي كود الخصم

""JORDAN""

عبر...",completed,240,actions:link_click,0.0205,5,Lifetime,4.92,15041,12724,6/18/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: SALE on OmieBox is still ongoing...,completed,119,actions:link_click,0.04201681,5,Lifetime,5,10825,9599,6/21/2025,7-day click or 1-day view,,2,,
2/27/2023,3/27/2026,Instagram post: Special Sale on all Yumbox sizes🔥,completed,89,actions:link_click,0.05617978,5,Lifetime,5,10585,9233,6/25/2025,7-day click or 1-day view,,1,,
2/27/2023,3/27/2026,Instagram post: Get Yours NOW! Available in 6 colors,completed,69,actions:link_click,0.07246377,5,Lifetime,5,10312,8914,7/2/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Get Yours NOW!,completed,117,actions:link_click,0.04273504,5,Lifetime,5,11485,10689,7/2/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: SALE SALE SALE SALE SALE SALE...,completed,38,actions:link_click,0.13157895,5,Lifetime,5,4934,4075,7/4/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: SALE on OmieBox is still ongoing...,completed,194,actions:link_click,0.0256701,5,Lifetime,4.98,10184,8517,7/9/2025,7-day click or 1-day view,,1,,
2/27/2023,3/27/2026,Instagram post: Genius OmieBox: Let's unbox it...,completed,17,actions:onsite_conversion.messaging_conversation_started_7d,0.29117647,5,Lifetime,4.95,1838,1632,7/11/2025,7-day click or 1-day view,18,13,,
2/27/2023,3/27/2026,Instagram post: Stylish and practical lunchtime...,completed,100,actions:link_click,0.0499,5,Lifetime,4.99,9798,8895,7/11/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Are you looking for a roomy lunch...,completed,63,actions:link_click,0.07920635,5,Lifetime,4.99,4033,3808,7/13/2025,7-day click or 1-day view,,1,,
2/27/2023,3/27/2026,Instagram post: Which style suits your child...,completed,98,actions:link_click,0.05091837,5,Lifetime,4.99,9745,9049,7/13/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Which style suits your child...,completed,90,actions:link_click,0.05555556,5,Lifetime,5,10042,9048,7/15/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Are you looking for a roomy lunch...,completed,70,actions:link_click,0.07142857,5,Lifetime,5,3781,3455,7/15/2025,7-day click or 1-day view,,1,,
2/27/2023,3/27/2026,Instagram post: Which style suits your child...,completed,31,actions:onsite_conversion.messaging_conversation_started_7d,0.16064516,5,Lifetime,4.98,3197,2619,7/16/2025,7-day click or 1-day view,34,28,,
2/27/2023,3/27/2026,"Instagram post: NEW ARRIVALS ALERT 🚨
The...",completed,57,actions:link_click,0.05157895,3,Lifetime,2.94,8939,7131,7/18/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,"Instagram post: NEW ARRIVALS!
Ready to upgrade...",completed,72,actions:link_click,0.04111111,3,Lifetime,2.96,8247,7051,7/18/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: A glimpse on our most recent...,completed,118,actions:link_click,0.03389831,4,Lifetime,4,9227,7893,7/18/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Check out these amazing OmieBox...,completed,160,actions:link_click,0.03125,5,Lifetime,5,12285,10397,7/22/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Let’s unbox Red OmieBox!😍...,completed,21,actions:onsite_conversion.messaging_conversation_started_7d,0.23761905,5,Lifetime,4.99,2882,2477,7/22/2025,7-day click or 1-day view,22,18,,
2/27/2023,3/27/2026,Instagram post: Which style suits your child...,completed,20,actions:onsite_conversion.messaging_conversation_started_7d,0.2365,5,Lifetime,4.73,3473,2738,7/24/2025,7-day click or 1-day view,20,19,,
2/27/2023,3/27/2026,Instagram post: Urth Mama’s lunch idea inside...,completed,23,actions:onsite_conversion.messaging_conversation_started_7d,0.2126087,5,Lifetime,4.89,3216,2627,7/24/2025,7-day click or 1-day view,24,21,,
2/27/2023,3/27/2026,"Instagram post: ‎حطّولنا ""🤍"" بالتعليقات إذا...",completed,379,actions:link_click,0.02638522,10,Lifetime,10,20326,14436,7/26/2025,7-day click or 1-day view,1,1,,
2/27/2023,3/27/2026,Instagram post: Let’s unbox Red OmieBox!😍...,completed,79,actions:link_click,0.06278481,5,Lifetime,4.96,3479,3045,7/26/2025,7-day click or 1-day view,,1,,
2/27/2023,3/27/2026,Instagram post: A great healthy lunch idea inside...,completed,22,actions:onsite_conversion.messaging_conversation_started_7d,0.22454545,5,Lifetime,4.94,3072,2409,7/26/2025,7-day click or 1-day view,26,22,,
2/27/2023,3/27/2026,"Instagram post: MontiiCo Bento Three:
Your...",completed,92,actions:link_click,0.03173913,3,Lifetime,2.92,9453,8036,7/27/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,"Instagram post: MontiiCo Bento Three:
Your...",completed,88,actions:link_click,0.03397727,3,Lifetime,2.99,10428,9073,7/27/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Which style suits your child...,completed,184,actions:link_click,0.02668478,5,Lifetime,4.91,14507,12366,7/30/2025,7-day click or 1-day view,1,,,
2/27/2023,3/27/2026,Instagram post: ‎ممكن تجرّبوا سنسال العنبر...,completed,164,actions:link_click,0.0304878,5,Lifetime,5,3562,3136,8/5/2025,7-day click or 1-day view,5,5,,
2/27/2023,3/27/2026,Instagram post: Let’s unbox Red OmieBox!😍...,completed,26,actions:onsite_conversion.messaging_conversation_started_7d,0.19,5,Lifetime,4.94,2434,1806,8/8/2025,7-day click or 1-day view,29,21,,
2/27/2023,3/27/2026,Instagram post: Check out this wholesome lunch...,completed,97,actions:onsite_conversion.messaging_conversation_started_7d,0.10030928,10,Lifetime,9.73,7128,5014,8/13/2025,7-day click or 1-day view,104,91,,
2/27/2023,3/27/2026,Instagram post: ‎إذا محتارين بين OmieBox و...,completed,25,actions:onsite_conversion.messaging_conversation_started_7d,0.3976,10,Lifetime,9.94,3347,2719,8/16/2025,7-day click or 1-day view,39,22,,
2/27/2023,3/27/2026,"Instagram post: STOP🛑
Back to School Biggest SALE...",completed,233,actions:link_click,0.04253219,10,Lifetime,9.91,18834,13974,8/17/2025,7-day click or 1-day view,1,3,,
2/27/2023,3/27/2026,"Instagram post: STOP SCROLLING ✋️⛔️
New OmieBox...",inactive,119,actions:link_click,0.03739496,10,Lifetime,4.45,8189,7582,8/17/2025,7-day click or 1-day view,,1,,
2/27/2023,3/27/2026,Instagram post: Are you looking for a roomy lunch...,completed,182,actions:link_click,0.02747253,5,Lifetime,5,9349,8140,8/16/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Which style suits your child...,completed,153,actions:link_click,0.06535948,10,Lifetime,10,8620,7305,8/18/2025,7-day click or 1-day view,,2,,
2/27/2023,3/27/2026,Instagram post: Check out this wholesome lunch...,completed,134,actions:link_click,0.0369403,5,Lifetime,4.95,4171,3840,8/19/2025,7-day click or 1-day view,,1,,
2/27/2023,3/27/2026,Instagram post: Back to School SALE is on fire at...,completed,88,actions:link_click,0.05534091,5,Lifetime,4.87,3048,2792,8/19/2025,7-day click or 1-day view,,1,,
2/27/2023,3/27/2026,Instagram post: Genius OmieBox: Let's unbox it...,completed,34,actions:onsite_conversion.messaging_conversation_started_7d,0.14588235,5,Lifetime,4.96,3429,2637,8/19/2025,7-day click or 1-day view,41,32,,
2/27/2023,3/27/2026,"Instagram post: SALE ALERT🔥
Grab your favorite...",completed,92,actions:link_click,0.05336957,5,Lifetime,4.91,2995,2310,8/20/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: SALE on OmieBox is still ongoing...,completed,233,actions:link_click,0.04291845,10,Lifetime,10,7615,6512,8/21/2025,7-day click or 1-day view,,11,,
2/27/2023,3/27/2026,Instagram Post,completed,77,actions:link_click,0.06441558,5,Lifetime,4.96,3916,3340,8/21/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Wholesome lunch idea inside the...,completed,39,actions:onsite_conversion.messaging_conversation_started_7d,0.25564103,10,Lifetime,9.97,5680,4324,8/21/2025,7-day click or 1-day view,41,36,,
