product_title,total_revenue,total_units,months_active,cumulative_revenue,revenue_pct,cumulative_pct,product_rank,product_pct,abc_class
Bebe au Lait Breastfeeding Cover,27.03,1,1,369432.66000000015,0.007309433693579617,99.90172151360503,141,85.97560975609755,C
Bee's Wrap Small 3 Pack,25.24,3,3,369457.90000000014,0.0068253831456141145,99.90854689675062,142,86.58536585365853,C
Kids Raw Cognac Flower  Baltic Amber Teething Necklace,25.23,1,1,369483.1300000001,0.00682267895260872,99.91536957570324,143,87.1951219512195,C
Kids Raw Cherry Baltic Amber Necklace,22.52,2,2,369505.65000000014,0.006089842648146984,99.92145941835139,144,87.8048780487805,C
"MontiiCo Large Bumper - 1L, 1.5L - Midnight",22.52,9,7,369528.17000000016,0.006089842648146984,99.92754926099954,145,88.41463414634147,C
Feather Teether,22.52,2,2,369550.6900000002,0.006089842648146984,99.93363910364769,146,89.02439024390245,C
Doidy Cup,21.67,3,2,369572.36000000016,0.005859986242688505,99.93949908989038,147,89.63414634146342,C
Gilligan O'malley Breastfeeding Bra,20.71,3,3,369593.0700000002,0.005600383714170694,99.94509947360454,148,90.2439024390244,C
Eyeshadow & Balm Duo Party Pack,20.0,2,1,369613.0700000002,0.0054083860107877295,99.95050785961533,149,90.85365853658537,C
Slingshot with Felt Balls,18.02,2,2,369631.0900000002,0.0048729557957197436,99.95538081541106,150,91.46341463414635,C
Clacker Keys,18.02,1,1,369649.1100000002,0.0048729557957197436,99.96025377120678,151,92.07317073170732,C
Avocado Stacker,18.02,1,1,369667.13000000024,0.0048729557957197436,99.96512672700251,152,92.6829268292683,C
Peg Puzzle Toy,18.01,1,1,369685.14000000025,0.0048702516027143514,99.96999697860524,153,93.29268292682927,C
Lunch Punch Sandwich Cutter,15.0,3,2,369700.14000000025,0.004056289508090797,99.97405326811332,154,93.90243902439023,C
Rocket Teether,15.0,1,1,369715.14000000025,0.004056289508090797,99.97810955762141,155,94.51219512195121,C
Bee's Wrap Bread,14.0,3,2,369729.14000000025,0.0037858702075514107,99.98189542782896,156,95.1219512195122,C
Avanchy La Petite Silicone Mini Bowl,13.5,1,1,369742.64000000025,0.0036506605572817173,99.98554608838624,157,95.73170731707317,C
Bee's Wrap Baguette,12.61,2,1,369755.25000000023,0.003409987379801664,99.98895607576604,158,96.34146341463415,C
Alphabet Busy Bag,12.0,2,2,369767.25000000023,0.0032450316064726375,99.99220110737251,159,96.95121951219512,C
OmieBox UP Lid Seal,10.82,2,1,369778.07000000024,0.0029259368318361617,99.99512704420435,160,97.5609756097561,C
Animal Matching Busy Bag,10.81,1,2,369788.88000000024,0.002923232638830768,99.99805027684319,161,98.17073170731707,C
Bee's Wrap Medium 3 Pack,7.21,1,1,369796.09000000026,0.0019497231568889766,100.00000000000009,162,98.78048780487805,C
MontiiCo Drink Bottle Sports Lid 2.0,0.0,1,1,369796.09000000026,0.0,100.00000000000009,163,99.39024390243902,C
Kids African Turquoise + Raw Cognac Amber Necklace,0.0,1,1,369796.09000000026,0.0,100.00000000000009,164,100.0,C
